55312,760505847,4834,237000000
27282,309404152,48350,300000000
47164,200074175,11700,245000000
91590,448130642,106759,250000000
85890,73058679,1873,263700000
93078,336530303,46055,258000000
56910,200807262,2036,260000000
81748,458991599,92000,250000000
95738,301956980,58753,250000000
47734,330249062,24450,250000000
67972,200069408,29991,209000000
55138,168368427,2023,200000000
27286,423032628,48486,225000000
10712,89289910,45757,215000000
06344,291021565,20495,225000000
80542,141614023,22697,225000000
90846,623279547,87697,220000000
01970,241063875,54083,250000000
90972,179020854,12572,225000000
69330,255108370,9152,250000000
35004,262030663,28489,230000000
42538,105219735,3244,200000000
19916,258355354,9152,225000000
49870,70083519,24106,180000000
58712,218051260,7123,207000000
77640,658672302,45223,200000000
81776,407197282,64798,250000000
90938,65173160,26679,209000000
46654,652177271,8458,150000000
95504,304360277,2039,200000000
30812,373377893,43388,200000000
06300,408992272,30426,200000000
81304,334185206,79957,200000000
10488,234360014,21714,210000000
10646,268488329,14863,200000000
99262,402076689,3218,200000000
23562,245428137,3988,210000000
93976,234903076,73441,215000000
03246,202853933,28631,200000000
04001,172051787,25550,170000000
84506,191450875,4482,200000000
35062,116593191,17657,200000000
96556,414984497,19085,200000000
53602,125320003,27468,200000000
69388,350034110,79150,190000000
10606,202351611,32392,190000000
23450,233914986,91434,200000000
06214,228756232,21411,190000000
06104,65171860,1766,195000000
06310,144812796,29770,105000000
80524,90755643,16149,200000000
10656,101785482,19166,190000000
82330,352358779,2593,195000000
48674,317011114,14959,185000000
91242,237282182,5005,185000000
48210,130468626,1327,185000000
40049,223806889,2975,180000000
10746,140080850,1125,140000000
06612,166112167,2144,200000000
26618,137850096,48878,200000000
46342,47375327,47334,176000000
48126,124051759,21175,180000000
91490,533316061,57802,185000000
35706,292979556,2635,175000000
82214,198332128,2579,175000000
53152,318298180,39252,140000000
85522,73820094,36017,170000000
01040,113745408,15870,170000000
79604,102176165,9131,145000000
48256,161087183,11287,175000000
90944,100289690,108016,175000000
23500,100189501,12652,178000000
87438,88246220,1004,175000000
74956,150167630,26683,175000000
46674,356454367,2944,175000000
47902,362645141,32921,175000000
89918,312057433,48638,200000000
13738,155111815,72881,170000000
23514,241407328,15516,180000000
23598,208543795,14363,170000000
19994,38297305,20965,175000000
23314,259746958,36188,170000000
23968,238371987,4628,165000000
46608,93417865,5046,190000000
46026,222487711,2963,165000000
95494,189412677,4451,165000000
83162,665426,16264,165000000
81786,102315545,3233,165000000
20782,217387997,20453,165000000
45014,150350192,1769,200000000
45898,333130696,32438,170000000
09192,187991439,31488,165000000
16336,292568851,81115,160000000
86422,303001229,9152,180000000
98048,144512310,45327,38000000
11584,127490802,13333,150000000
76642,146405371,50983,160000000
43072,281666058,81385,160000000
74592,63143812,13388,150000000
29084,60655503,92456,160000000
48050,76846624,80806,170000000
84811,320706665,4705,160000000
48064,46978995,5505,160000000
46668,89732035,38873,155000000
80546,104383624,764,155000000
09870,198539855,5401,140000000
58538,318759914,2333,150000000
06726,34293771,24598,155000000
80460,292000866,33433,150000000
49410,289994397,53413,150000000
45226,227946274,21584,150000000
45090,256386216,13076,150000000
79426,206456431,57844,150000000
95080,206435493,4764,150000000
29668,205343774,59558,150000000
36000,179982968,3285,150000000
66366,177243721,54039,150000000
10504,179883016,40054,150000000
94932,139259759,1062,150000000
19878,400736600,2582,150000000
34215,281492479,534,150000000
19814,206360018,59803,170000000
06058,153629485,40025,150000000
50238,133375846,16948,150000000
76566,181015141,60059,150000000
45844,114053579,20007,150000000
98278,119420252,2217,150000000
